id,zip,score,process,address,restaurant,inspection-date,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country
11204269,78748,100,"Routine Inspection","9600 S IH 35 SVRD SB Bunit 140 AUSTIN, TX 78748 ","Nothing Bundt Cakes - South Austin",2014-12-28T00:00:00Z,30.148782,-97.792996,0.8,street_center,,"I- 35",Austin,TX,"Travis County",78748,US
11204859,78704,99,"Routine Inspection","3001 S 1ST ST AUSTIN, TX 78704 ","Dawson Child Inc Child Development Center",2015-12-27T00:00:00Z,30.235423,-97.76395,1,range_interpolation,3001,"S 1st St",Austin,TX,"Travis County",78704,US
11204878,78702,100,"Routine Inspection","4900 GONZALES ST AUSTIN, TX 78702 ","Allan Head Start Child Development Center",2014-12-28T00:00:00Z,30.25611,-97.699039,1,range_interpolation,4900,"Gonzales St",Austin,TX,"Travis County",78702,US
11205336,78703,91,"Routine Inspection","1717 W 6TH ST Bldg B AUSTIN, TX 78703 ","Cover 3",2014-12-28T00:00:00Z,30.276158,-97.765281,1,range_interpolation,1717,"W 6th St",Austin,TX,"Travis County",78703,US
11205559,78756,97,"Routine Inspection","5000 N LAMAR BLVD Unit 106 AUSTIN, TX 78756 ","SquareRut Kava Bar Lamar, LLC",2014-12-28T00:00:00Z,30.317881,-97.731556,1,range_interpolation,5000,"N Lamar Blvd",Austin,TX,"Travis County",78751,US
11206262,78756,76,"Routine Inspection","5520 BURNET RD Unit 101 AUSTIN, TX 78756 ","Taco Flats",2014-12-28T00:00:00Z,30.330304,-97.740055,1,range_interpolation,5520,"Burnet Rd",Austin,TX,"Travis County",78756,US
11206604,78744,85,"Routine Inspection","4612 BURLESON RD AUSTIN, TX 78744 ","Bella Donna Subs",2014-12-28T00:00:00Z,30.213688,-97.733358,1,range_interpolation,4612,"Burleson Rd",Austin,TX,"Travis County",78744,US
11207395,78731,96,"Routine Inspection","4401 SPICEWOOD SPRINGS RD AUSTIN, TX 78731 ","Brookdale Spicewood Springs",2015-12-27T00:00:00Z,30.372886,-97.758546,1,range_interpolation,4401,"Spicewood Springs Rd",Austin,TX,"Travis County",78759,US
11207424,78758,85,"Routine Inspection","12429 SCOFIELD FARMS DR AUSTIN, TX 78758 ","Brookdale Parmer Lane",2014-12-28T00:00:00Z,30.410509,-97.686975,1,range_interpolation,12429,"Scofield Farms Dr",Austin,TX,"Travis County",78758,US
11207538,78738,100,"Routine Inspection","1604 LOHMANS CROSSING RD LAKEWAY, TX 78738 ","LW - Brookdale Lohmans Crossing",2015-12-27T00:00:00Z,30.351565,-97.977007,1,range_interpolation,1604,"Lohmans Crossing Rd",Austin,TX,"Travis County",78734,US
11207649,78702,89,"Routine Inspection","3235 E CESAR CHAVEZ ST Unit 300 AUSTIN, TX 78702 ","Jacoby's Austin - Catering Kitchen",2014-12-28T00:00:00Z,30.251574,-97.70766,1,range_interpolation,3235,"E Cesar Chavez St",Austin,TX,"Travis County",78702,US
11207695,78757,93,"Routine Inspection","7113 BURNET RD Unit 115 AUSTIN, TX 78757 ","SugaPlump Pastries",2015-12-27T00:00:00Z,30.34749,-97.736089,1,range_interpolation,7113,"Burnet Rd",Austin,TX,"Travis County",78757,US
